ID,Title,Skills Acquired,Prob Skills Acquired,Skills Required,Prob Skills Required,Money,Hours dedicated,Topics,URL
dt2,Design Thinking in a Nutshell,"Evaluate training programs, instructors or materials;;Develop new or advanced products or production methods;;Direct design or development activities;;Develop artistic or design concepts for decoration, exhibition or commercial purposes;;Collaborate with others to develop or refine designs;;Coordinate design activities;;Design electronic or computer equipment or instrumentation;;Research human performance or health factors related to engineering or design activities;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Computer based training software;;Develop educational or training programs",0.528;;0.500;;0.498;;0.477;;0.472;;0.470;;0.467;;0.464;;0.463;;0.461;;0.458,,,,12,,https://open.sap.com/courses/dt2
s4h27,SAP S/4HANA Embedded Analytics,"Business intelligence and data analysis software;;Analyse data to inform operational decisions or activities;;Enterprise resource planning ERP software;;Develop data analysis or data management procedures;;Analytical and scientific software;;Analyse budgetary, accounting or business data",0.591;;0.489;;0.482;;0.479;;0.468;;0.452,,,,20,,https://open.sap.com/courses/s4h27
byd9,SAP Business ByDesign Administration,"Enterprise resource planning ERP software;;Business intelligence and data analysis software;;Develop procedures for data management;;Sales and marketing software;;Oversee business processes;;Develop computer or information security policies or procedures;;Implement security measures for computer or information systems;;Direct organisational operations, projects or services;;Advise clients on security requirements and design security measures;;Develop data analysis or data management procedures;;Enterprise system management software;;Present business-related information;;Coordinate activities with suppliers, contractors, clients, or other departments;;Apply information technology to solve business or other applied problems;;Establish business management methods",0.527;;0.519;;0.510;;0.483;;0.468;;0.464;;0.463;;0.462;;0.459;;0.458;;0.456;;0.456;;0.452;;0.451;;0.451,,,,15,,https://open.sap.com/courses/byd9
abap1,Introduction to ABAP in the Cloud,,,,,,8,,https://open.sap.com/courses/abap1
calm3,Operating Cloud-Centric Solutions with SAP Cloud ALM,,,,,,12,,https://open.sap.com/courses/calm3
coco1,openSAP Summer School 2021 - Coffee Corner,,,,,,10,,https://open.sap.com/courses/coco1
egc1,Enterprise Goes Cloud,,,,,,20,,https://open.sap.com/courses/egc1
cp10,Accelerate Enterprise Integrations with SAP Integration Suite,Enterprise application integration software;;Business intelligence and data analysis software;;Enterprise system management software;;Enterprise resource planning ERP software;;Financial and commodities services software,0.562;;0.478;;0.462;;0.458;;0.458,,,,16,,https://open.sap.com/courses/cp10
btp1,SAP Business Technology Platform in a Nutshell,Business intelligence and data analysis software;;Enterprise resource planning ERP software;;Enterprise system management software;;Enterprise application integration software,0.523;;0.518;;0.458;;0.455,,,,12,,https://open.sap.com/courses/btp1
ds3,Getting Started with Data Science (Edition 2021),Analyse data to inform operational decisions or activities;;Develop technical or scientific databases;;Business intelligence and data analysis software;;Develop data analysis or data management procedures;;Calculate data to inform organisational operations;;Analyse data to determine project feasibility;;Prepare data for analysis;;Analyse business or financial data;;Apply mathematical models of financial or business conditions;;Analyse market research data;;Analyse data to assess operational or project effectiveness;;Interpret research or operational data;;Develop business or financial information systems;;Data mining software;;Develop procedures for data management;;Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Analyse data to identify or resolve operational problems;;Apply information technology to solve business or other applied problems;;Analyse operational or research data;;Analyse project data to determine specifications or requirements,0.546;;0.535;;0.533;;0.532;;0.513;;0.511;;0.506;;0.489;;0.481;;0.480;;0.478;;0.473;;0.468;;0.468;;0.459;;0.457;;0.454;;0.452;;0.452;;0.450,,,,24,,https://open.sap.com/courses/ds3
s4h19-1,Guide Your SAP S/4HANA Project to Success (Repeat),"Develop guidelines for system implementation;;Direct organisational operations, projects or services;;Enterprise resource planning ERP software;;Develop proposals for current or prospective customers;;Develop diagrams or flow charts of system operation;;Identify information technology project resource requirements;;Business intelligence and data analysis software",0.547;;0.473;;0.467;;0.466;;0.463;;0.463;;0.451,,,,25,,https://open.sap.com/courses/s4h19-1
calm2,Accelerate Cloud Implementations with SAP Cloud ALM,Business intelligence and data analysis software;;Enterprise resource planning ERP software,0.461;;0.457,,,,16,,https://open.sap.com/courses/calm2
fiori-ea1,Developing and Extending SAP Fiori Elements Apps,,,,,,16,,https://open.sap.com/courses/fiori-ea1
cx1-tl,Understanding Your Customer’s Journey,"Communicate with customers to resolve complaints or ensure satisfaction;;Collect data about customer needs;;Advise customers on the use of goods or services;;Train customers in the use of products;;Answer customer questions about goods or services;;Evaluate training programs, instructors or materials;;Gather customer or product information to determine customer needs;;Provide customer service to clients or users;;Identify potential customers;;Gather information in order to provide services to clients;;Respond to customer inquiries;;Deliver promotional presentations to current or prospective customers;;Analyse market or customer related data;;Correspond with customers to answer questions or resolve complaints;;Develop training materials;;Discuss goods or services information with customers or patrons;;Explain technical product or service information to customers;;Confer with customers or users to assess problems;;Provide customers with general information or assistance;;Collect information about clients;;Confer with clients to determine needs;;Communicate with clients about products, procedures and policies;;Direct sales, marketing or customer service activities;;Assist clients in handling details of daily life;;Resolve customer complaints or problems;;Advise customers on technical or procedural issues",0.537;;0.533;;0.528;;0.523;;0.521;;0.503;;0.492;;0.485;;0.485;;0.484;;0.483;;0.481;;0.480;;0.479;;0.477;;0.475;;0.471;;0.470;;0.469;;0.467;;0.453;;0.453;;0.452;;0.452;;0.451;;0.451,,,,12,,https://open.sap.com/courses/cx1-tl
ehs1,"SAP Environment, Health, and Safety for Operational Sustainability","Inspect work environments to ensure safety;;Investigate safety of work environment;;Inspect work sites to identify potential environmental or safety hazards;;Consult with others regarding health and safety associated with equipment or facilities;;Train employees on environmental awareness, conservation or safety topics;;Advise others on management of emergencies or hazardous situations or materials;;Clean facilities or work areas;;Teach safety standards or environmental compliance methods;;Develop sustainable organisational policies or practices;;Advise others on health and safety issues;;Develop safety standards, policies or procedures;;Monitor work environment to ensure safety or adherence to specifications;;Clean work areas or facilities;;Develop health care quality and safety procedures;;Develop operating strategies, plans or procedures for green or sustainable operations;;Supervise workers performing environmentally sustainable activities;;Advise communities or institutions regarding health or safety issues;;Conduct health or safety training programs;;Monitor work areas or procedures to ensure compliance with safety procedures;;Train staff on proper operational procedures;;Clean equipment or facilities;;Provide safety training or demonstrations;;Decontaminate equipment or sites;;Test air quality at work sites;;Evaluate environmental impact of operational or development activities;;Develop sustainable industrial or development methods;;Rescue people from hazardous situations;;Clean work areas;;Monitor environment to ensure safety;;Recommend improvements to increase safety or reduce risks;;Assist customers to ensure comfort or safety;;Inspect facilities to ensure compliance with security or safety regulations;;Maintain operational records for green energy processes or other environmentally sustainable activities;;Protect structures or surfaces near work areas to avoid damage;;Follow safety procedures for vehicle operation;;Develop environmental sustainability plans or projects;;Train employees in proper work procedures;;Test facilities for environmental hazards;;Coordinate safety or regulatory compliance activities;;Communicate safety or hazard information to others;;Inspect facilities, equipment or supplies to ensure conformance to standards;;Monitor the handling of hazardous materials or medical wastes;;Maintain sustainable energy production equipment;;Operate firefighting equipment;;Maintain clean work areas;;Research issues related to the environment or sustainable business practices;;Evaluate staff practices to ensure adherence to regulations;;Manage environmental sustainability projects;;Research human performance or health factors related to engineering or design activities;;Inspect facilities for cleanliness;;Clean work sites;;Monitor operational quality or safety;;Monitor environmental impacts of production or development activities;;Research environmental impact of industrial or development activities;;Inspect sustainable energy production facilities or equipment;;Investigate industrial or transportation accidents;;Install fire protection equipment and systems;;Design environmental control systems;;Maintain office equipment in proper operating condition;;Clean facilities or sites;;Monitor operations to ensure compliance with safety or security policies or regulations;;Inspect equipment or facilities to determine condition or maintenance needs;;Clean medical equipment or facilities;;Monitor environmental conditions to detect hazards;;Instruct workers to use equipment or perform technical procedures;;Direct quality control activities;;Maintain facilities;;Direct emergency management activities;;Inspect facilities to ensure compliance with fire regulations;;Assess risks to business operations;;Prepare research or technical reports on environmental issues;;Direct environmental development activities;;Protect patients or staff members using safety equipment;;Maintain knowledge of aircraft specifications and flight safety procedures;;Clean production equipment;;Inspect industrial or commercial equipment to ensure proper operation;;Supervise maintenance workers;;Educate the public about fire safety or prevention;;Maintain work equipment or machinery;;Manage organisational security activities;;Select equipment, materials or supplies for cleaning or maintenance activities;;Inspect equipment to ensure safety or proper functioning;;Research product safety;;Monitor operational activities to ensure compliance with regulations or standard operating procedures;;Direct facility maintenance or repair activities;;Evaluate green operations or programs for compliance with standards or regulations;;Clean equipment or supplies;;Evaluate plans or specifications to determine technological or environmental implications;;Manage health care operations",0.695;;0.689;;0.685;;0.647;;0.639;;0.626;;0.620;;0.619;;0.605;;0.604;;0.601;;0.592;;0.588;;0.581;;0.580;;0.574;;0.572;;0.567;;0.551;;0.550;;0.550;;0.549;;0.548;;0.544;;0.540;;0.537;;0.537;;0.536;;0.530;;0.527;;0.523;;0.516;;0.515;;0.514;;0.511;;0.509;;0.506;;0.506;;0.505;;0.501;;0.501;;0.500;;0.500;;0.497;;0.497;;0.495;;0.495;;0.494;;0.493;;0.492;;0.490;;0.489;;0.487;;0.486;;0.485;;0.485;;0.485;;0.483;;0.481;;0.480;;0.479;;0.479;;0.478;;0.475;;0.475;;0.471;;0.470;;0.466;;0.466;;0.466;;0.464;;0.463;;0.461;;0.459;;0.459;;0.458;;0.458;;0.456;;0.455;;0.454;;0.454;;0.453;;0.453;;0.451;;0.451;;0.451;;0.451;;0.450;;0.450,,,,12,,https://open.sap.com/courses/ehs1
devops1,Efficient DevOps with SAP,"Direct quality control activities;;Direct organisational operations, projects or services;;Evaluate training programs, instructors or materials;;Business intelligence and data analysis software;;Provide technical support for software maintenance or use",0.496;;0.481;;0.462;;0.457;;0.454,,,,30,,https://open.sap.com/courses/devops1
sparta2,CMS in “Spartacus”,,,,,,20,,https://open.sap.com/courses/sparta2
sparta3,Spartacus B2B Commerce Organization,"Sales and marketing software;;Direct organisational operations, projects or services;;Business intelligence and data analysis software;;Financial and commodities services software;;Direct sales, marketing or customer service activities;;Customer relationship management CRM software;;Identify potential customers;;Advise customers on the use of goods or services;;Coordinate logistics or other business operations;;Develop business relationships;;Perform marketing activities",0.566;;0.507;;0.490;;0.478;;0.472;;0.469;;0.466;;0.460;;0.460;;0.457;;0.455,,,,16,,https://open.sap.com/courses/sparta3
ai1,Exploring the World of AI,Develop instructional materials;;Create technology-based learning materials,0.489;;0.467,,,,9,,https://open.sap.com/courses/ai1
red2-pc,Fundamentals of Red Hat Enterprise Linux for SAP Solutions,Develop guidelines for system implementation;;Train others in cyber security issues,0.456;;0.451,,,,9,,https://open.sap.com/courses/red2-pc
hyper1,"SAP on Hyperscalers – Strategy, Architecture and Deployment",,,,,,12,,https://open.sap.com/courses/hyper1
s4h20,Integration Advisor Capability of SAP Integration Suite,Enterprise application integration software;;Develop diagrams or flow charts of system operation;;Develop guidelines for system implementation;;Business intelligence and data analysis software;;Identify information technology project resource requirements;;Financial and commodities services software,0.581;;0.478;;0.478;;0.478;;0.466;;0.456,,,,12,,https://open.sap.com/courses/s4h20
cleanit2021-hpi,clean-IT: Towards Sustainable Digital Technologies,Design energy efficient equipment or systems;;Analyse energy usage data,0.597;;0.466,,,,10,,https://open.sap.com/courses/cleanit2021-hpi
rpa5,Enter Next-Level Bot Building with SAP Intelligent RPA 2.0,Industrial control and automation software;;Program robotic equipment;;Business intelligence and data analysis software;;Oversee business processes,0.477;;0.476;;0.457;;0.452,,,,20,,https://open.sap.com/courses/rpa5
int2,SAP Integration Solution Advisory Methodology,"Enterprise application integration software;;Business intelligence and data analysis software;;Oversee business processes;;Develop procedures for data entry or processing;;Enterprise system management software;;Develop procedures for data management;;Enterprise resource planning ERP software;;Develop guidelines for system implementation;;Direct organisational operations, projects or services;;Analyse data to inform operational decisions or activities",0.565;;0.537;;0.524;;0.486;;0.484;;0.480;;0.477;;0.472;;0.456;;0.451,,,,16,,https://open.sap.com/courses/int2
ea2,An Enterprise Architect’s View on SAP Business Technology Platform,Enterprise resource planning ERP software;;Identify information technology project resource requirements;;Enterprise system management software;;Business intelligence and data analysis software,0.514;;0.471;;0.466;;0.454,,,,12,,https://open.sap.com/courses/ea2
malware2021-hpi,Cyberthreats: Malware,Train others in cyber security issues;;Maintain security;;Identify security threats and determine counter measures;;Transaction security and virus protection software;;Conduct legal cyberattack simulations by designing and utilising hacking tools;;Implement security measures for computer or information systems,0.551;;0.541;;0.533;;0.492;;0.477;;0.469,,,,10,,https://open.sap.com/courses/malware2021-hpi
dit2,The Business Opportunities of a Digitally Transformed Economy,Collaborate with others to resolve information technology issues;;Apply information technology to solve business or other applied problems;;Develop performance metrics or standards related to information technology,0.481;;0.480;;0.468,,,,20,,https://open.sap.com/courses/dit2
clim1,Business Success with Climate Action,"Develop environmental sustainability plans or projects;;Research issues related to the environment or sustainable business practices;;Develop operating strategies, plans or procedures for green or sustainable operations;;Identify opportunities for green initiatives;;Develop sustainable organisational policies or practices;;Promote environmental sustainability or conservation initiatives;;Present sustainable goods or services information to the public;;Evaluate environmental or sustainability projects;;Evaluate green operations or programs for compliance with standards or regulations;;Develop sustainable industrial or development methods;;Evaluate logistics methods to reduce environmental impact;;Manage environmental sustainability projects;;Advise others regarding green practices or environmental concerns;;Identify environmental concerns;;Train others in cyber security issues;;Direct environmental development activities;;Prepare operational budgets for green energy or other green operations;;Implement transportation changes to reduce environmental impact;;Determine methods to minimise environmental impact of activities;;Maintain operational records for green energy processes or other environmentally sustainable activities;;Develop marketing plans or strategies for environmental initiatives;;Evaluate environmental impact of operational or development activities;;Supervise workers performing environmentally sustainable activities;;Conduct climate research;;Apply knowledge or research findings to address environmental problems;;Incorporate green features into the design of structures or facilities;;Investigate the environmental impact of projects;;Research environmental impact of industrial or development activities;;Study product information to acquire professional knowledge",0.600;;0.599;;0.597;;0.584;;0.577;;0.548;;0.520;;0.520;;0.514;;0.513;;0.506;;0.506;;0.501;;0.500;;0.498;;0.498;;0.491;;0.488;;0.487;;0.482;;0.478;;0.473;;0.458;;0.457;;0.456;;0.455;;0.454;;0.451;;0.451,,,,9,,https://open.sap.com/courses/clim1
iis1,SAP’s Integrated Intelligent Suite,Business intelligence and data analysis software;;Enterprise application integration software;;Enterprise resource planning ERP software;;Financial and commodities services software;;Enterprise system management software;;Develop business or financial information systems,0.518;;0.518;;0.485;;0.481;;0.478;;0.453,,,,16,,https://open.sap.com/courses/iis1
identities2021-hpi,Digital Identities,"Train others in cyber security issues;;Maintain security;;Monitor the security of digital information;;Implement security measures for computer or information systems;;Identify security threats and determine counter measures;;Analyse security of systems, network or data;;Develop computer or information security policies or procedures",0.532;;0.526;;0.518;;0.502;;0.501;;0.476;;0.463,,,,10,,https://open.sap.com/courses/identities2021-hpi
confidentialcommunication2021-hpi,Confidential Communication in the Internet,"Train others in cyber security issues;;Monitor the security of digital information;;Analyse security of systems, network or data;;Conduct legal cyberattack simulations by designing and utilising hacking tools;;Develop models of information or communications systems;;Messaging and communications software;;Implement security measures for computer or information systems;;Identify security threats and determine counter measures;;Coordinate with external parties to exchange information",0.551;;0.526;;0.483;;0.477;;0.475;;0.473;;0.469;;0.461;;0.454,,,,10,,https://open.sap.com/courses/confidentialcommunication2021-hpi
s4h15-1,Key Functional Topics in a System Conversion to SAP S/4HANA (Repeat),Develop diagrams or flow charts of system operation;;Develop guidelines for system implementation,0.464;;0.455,,,,16,,https://open.sap.com/courses/s4h15-1
hanasql1,A First Step Towards SAP HANA Query Optimization,Business intelligence and data analysis software,0.466,,,,16,,https://open.sap.com/courses/hanasql1
sf9,Hire to Retire Process in the Intelligent Enterprise,Human resources software;;Perform human resources activities;;Manage human resources activities;;Enterprise resource planning ERP software;;Coordinate recruitment activities;;Advise others on human resources topics;;Enterprise system management software;;Conduct employee training programs,0.560;;0.560;;0.529;;0.506;;0.477;;0.462;;0.456;;0.455,,,,12,,https://open.sap.com/courses/sf9
cp13,Building Apps with the ABAP RESTful Application Programming Model,Gather information in order to provide services to clients,0.454,,,,40,,https://open.sap.com/courses/cp13
sfintro2,Human Experience Management (HXM) - The Next Phase of HR,Perform human resources activities;;Manage human resources activities;;Human resources software;;Conduct employee training programs;;Advise others on human resources topics;;Teach health management classes,0.576;;0.536;;0.513;;0.504;;0.476;;0.468,,,,9,,https://open.sap.com/courses/sfintro2
s4h21,Delivering Value with Intelligent Innovations in SAP S/4HANA,Apply information technology to solve business or other applied problems;;Business intelligence and data analysis software;;Apply new technologies to improve work processes;;Maintain knowledge of business operations,0.526;;0.516;;0.481;;0.459,,,,12,,https://open.sap.com/courses/s4h21
s4h14-1,Key Technical Topics in a System Conversion to SAP S/4HANA (Repeat),Business intelligence and data analysis software;;Develop guidelines for system implementation;;Sales and marketing software,0.547;;0.462;;0.457,,,,16,,https://open.sap.com/courses/s4h14-1
sapai1,Use SAP AI Business Services to Kick-Start Your Intelligent Processes,Business intelligence and data analysis software;;Gather information in order to provide services to clients;;Financial and commodities services software;;Apply information technology to solve business or other applied problems;;Maintain knowledge of business operations;;Oversee business processes;;Develop procedures for data entry or processing;;Research industrial processes or operations,0.521;;0.484;;0.483;;0.481;;0.479;;0.477;;0.463;;0.454,,,,9,,https://open.sap.com/courses/sapai1
ic1,Get Started with Innovation Culture,Develop new or advanced products or production methods,0.454,,,,12,,https://open.sap.com/courses/ic1
sparta0,Introduction to “Spartacus”,,,,,,12,,https://open.sap.com/courses/sparta0
snap2,From Media Computation to Data Science,,,,,,32,,https://open.sap.com/courses/snap2
sac3,Planning with SAP Analytics Cloud,"Plan production or operational procedures or sequences;;Plan work operations;;Plan work procedures;;Business intelligence and data analysis software;;Develop operating strategies, plans or procedures;;Prepare detailed work plans;;Plan social sciences research;;Develop detailed project plans;;Calculate data to inform organisational operations;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Plan menu options;;Analyse data to inform operational decisions or activities;;Develop plans for programs or services;;Plan environmental research;;Review technical documents to plan work;;Confer with technical staff to prepare designs or operational plans;;Enterprise resource planning ERP software;;Sales and marketing software;;Evaluate plans or specifications to determine technological or environmental implications;;Develop financial or business plans",0.577;;0.568;;0.562;;0.558;;0.533;;0.523;;0.506;;0.505;;0.496;;0.494;;0.493;;0.492;;0.487;;0.485;;0.481;;0.470;;0.463;;0.462;;0.455;;0.451,,,,20,,https://open.sap.com/courses/sac3
calm1,SAP Cloud ALM in a Nutshell,Oversee business processes,0.458,,,,8,,https://open.sap.com/courses/calm1
plm2,SAP PLM in Process Industries,"Study product information to acquire professional knowledge;;Develop specifications for new products or processes;;Process library materials;;Train customers in the use of products;;Develop new or advanced products or production methods;;Design industrial processing systems;;Create marketing materials;;Research industrial processes or operations;;Gather customer or product information to determine customer needs;;Materials requirements planning, logistics and supply chain software;;Demonstrate products to consumers;;Communicate with clients about products, procedures and policies;;Direct design or development activities;;Sales and marketing software;;Develop equipment or component configurations;;Direct quality control activities;;Evaluate training programs, instructors or materials;;Advise others on ways to improve processes or products;;Advise customers on the use of goods or services;;Develop technical methods or processes;;Assist customers with product selection;;Develop content for sales presentations or other materials;;Confer with technical staff to prepare designs or operational plans;;Program equipment to perform production tasks;;Recommend technical design or process changes to improve efficiency, quality or performance;;Confer with customers or designers to determine order specifications;;Implement design or process improvements;;Explain technical product or service information to customers;;Perform marketing activities;;Read work orders or other instructions to determine product specifications or materials requirements;;Develop promotional materials;;Discuss design or technical features of goods or services with technical staff",0.576;;0.575;;0.559;;0.546;;0.529;;0.525;;0.515;;0.514;;0.508;;0.504;;0.497;;0.497;;0.492;;0.492;;0.487;;0.481;;0.479;;0.479;;0.473;;0.469;;0.467;;0.466;;0.465;;0.464;;0.462;;0.462;;0.462;;0.460;;0.458;;0.456;;0.454;;0.451,,,,8,,https://open.sap.com/courses/plm2
cp11,Introduction to SAP Cloud Platform* Extension Suite,Enterprise application integration software;;Enterprise resource planning ERP software,0.457;;0.454,,,,24,,https://open.sap.com/courses/cp11
nw1-tl,New Work and Purpose,"Develop sustainable organisational policies or practices;;Research issues related to the environment or sustainable business practices;;Apply new technologies to improve work processes;;Promote environmental sustainability or conservation initiatives;;Develop organisational goals or objectives;;Develop environmental sustainability plans or projects;;Identify opportunities for green initiatives;;Manage environmental sustainability projects;;Direct organisational operations, projects or services;;Plan social sciences research",0.500;;0.496;;0.485;;0.481;;0.480;;0.473;;0.466;;0.457;;0.455;;0.452,,,,20,,https://open.sap.com/courses/nw1-tl
sass1-sk,SAP Ariba Start Sourcing - Starter Kit,"Financial and commodities services software;;Business intelligence and data analysis software;;Materials requirements planning, logistics and supply chain software;;Sales and marketing software;;Confer with customers or designers to determine order specifications;;Coordinate activities with suppliers, contractors, clients, or other departments;;Communicate technical information to suppliers, contractors or regulatory agencies",0.492;;0.475;;0.469;;0.464;;0.457;;0.453;;0.451,,,,14,,https://open.sap.com/courses/sass1-sk
sparta1,Routing in “Spartacus”,,,,,,12,,https://open.sap.com/courses/sparta1
fiori3,"SAP Fiori Overview: Design, Develop and Deploy","Evaluate training programs, instructors or materials;;Construct patterns, templates or other work aids",0.476;;0.455,,,,16,,https://open.sap.com/courses/fiori3
btpt1,Business Technology Platform Tutorials,Business intelligence and data analysis software;;Enterprise resource planning ERP software;;Enterprise application integration software;;Financial and commodities services software;;Sales and marketing software;;Enterprise system management software;;Develop business or financial information systems;;Customer relationship management CRM software;;Apply information technology to solve business or other applied problems;;Premise branch exchange (PBX) systems;;Develop technical or scientific databases;;Accounting software,0.627;;0.554;;0.534;;0.532;;0.529;;0.515;;0.473;;0.471;;0.467;;0.461;;0.453;;0.452,,,,30,,https://open.sap.com/courses/btpt1
snap1-1,Get Coding with Snap! (Repeat) ,Create computer-generated graphics or animation;;Software development and programming languages;;Train others in cyber security issues,0.505;;0.496;;0.461,,,,8,,https://open.sap.com/courses/snap1-1
sfintro1,An Introduction to Human Experience Management (HXM),Perform human resources activities;;Conduct employee training programs;;Manage human resources activities;;Human resources software;;Teach health management classes;;Advise others on career or personal development,0.537;;0.504;;0.468;;0.455;;0.451;;0.451,,,,12,,https://open.sap.com/courses/sfintro1
suse1-1-pc,"Introduction to SUSE Linux Enterprise Server (SLES, Repeat)",,,,,,12,,https://open.sap.com/courses/suse1-1-pc
s4h18,How to Deliver a Great User Experience with SAP S/4HANA,Identify information technology project resource requirements;;Business intelligence and data analysis software;;Apply new technologies to improve work processes,0.464;;0.463;;0.454,,,,18,,https://open.sap.com/courses/s4h18
s4h16,Migrating Your Business Data to SAP S/4HANA – New Implementation Scenario,Develop procedures for data management;;Business intelligence and data analysis software,0.463;;0.453,,,,16,,https://open.sap.com/courses/s4h16
ea1-tl,Enterprise Architecture in the Era of the Intelligent Enterprise,Enterprise system management software;;Enterprise resource planning ERP software,0.527;;0.481,,,,16,,https://open.sap.com/courses/ea1-tl
rpa3,Business Process Automation in SAP S/4HANA with SAP Intelligent RPA,Industrial control and automation software;;Oversee business processes,0.475;;0.455,,,,8,,https://open.sap.com/courses/rpa3
bizmooc1,Intrapreneurship – Employee-driven Innovation,"Establish interpersonal business relationships to facilitate work activities;;Conduct employee training programs;;Develop new or advanced products or production methods;;Develop proposals for current or prospective customers;;Train others in cyber security issues;;Develop collaborative relationships between departments or with external organisations;;Develop operating strategies, plans or procedures;;Confer with co-workers or internal stakeholders to coordinate operational activities;;Apply new technologies to improve work processes;;Advise others on business or operational matters;;Develop business relationships;;Advise others on the development or use of new technologies;;Evaluate potential of products, technologies or resources",0.501;;0.495;;0.478;;0.475;;0.468;;0.464;;0.460;;0.459;;0.458;;0.458;;0.457;;0.453;;0.452,,,,4,,https://open.sap.com/courses/bizmooc1
snap1-ttt,Build Your Own Snap! Workshop,Software development and programming languages,0.477,,,,4,,https://open.sap.com/courses/snap1-ttt
ds0,Introduction to Statistics for Data Science,"Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields;;Determine appropriate methods for data analysis;;Analyse health-related data;;Prepare data for analysis;;Evaluate training programs, instructors or materials;;Interpret research or operational data;;Analyse quantitative data to determine effectiveness of treatments or therapies",0.507;;0.502;;0.487;;0.481;;0.465;;0.464;;0.451,,,,24,,https://open.sap.com/courses/ds0
tcb1-tl,Sustainability: Learning from Leading Companies,"Develop sustainable organisational policies or practices;;Develop environmental sustainability plans or projects;;Research issues related to the environment or sustainable business practices;;Develop operating strategies, plans or procedures for green or sustainable operations;;Develop sustainable industrial or development methods;;Manage environmental sustainability projects;;Promote environmental sustainability or conservation initiatives;;Identify opportunities for green initiatives;;Present sustainable goods or services information to the public;;Develop marketing plans or strategies for environmental initiatives;;Evaluate environmental or sustainability projects;;Direct environmental development activities;;Supervise workers performing environmentally sustainable activities;;Maintain operational records for green energy processes or other environmentally sustainable activities;;Apply knowledge or research findings to address environmental problems;;Identify environmental concerns;;Advise others regarding green practices or environmental concerns;;Maintain sustainable energy production equipment;;Develop plans to manage natural or renewable resources;;Train employees on environmental awareness, conservation or safety topics;;Evaluate environmental impact of operational or development activities;;Investigate the environmental impact of projects",0.729;;0.672;;0.643;;0.640;;0.621;;0.612;;0.603;;0.581;;0.568;;0.564;;0.535;;0.524;;0.497;;0.490;;0.476;;0.475;;0.474;;0.472;;0.468;;0.466;;0.458;;0.455,,,,16,,https://open.sap.com/courses/tcb1-tl
xm1,The Power of Experience Management,Plan experiential learning activities,0.474,,,,12,,https://open.sap.com/courses/xm1
plm1,Research and Development in Discrete Industries,"Develop new or advanced products or production methods;;Develop specifications for new products or processes;;Research industrial processes or operations;;Study product information to acquire professional knowledge;;Conduct research to gain information about products or processes;;Direct design or development activities;;Develop equipment or component configurations;;Research new technologies;;Evaluate potential of products, technologies or resources;;Research engineering applications of emerging technologies;;Research advanced engineering designs or applications;;Design research studies to obtain scientific information;;Discuss design or technical features of goods or services with technical staff;;Research product safety;;Design electronic or computer equipment or instrumentation;;Develop technical methods or processes;;Identify new applications for existing technologies;;Update knowledge about emerging industry or technology trends;;Materials requirements planning, logistics and supply chain software;;Develop technical specifications for systems or equipment;;Analyse design or requirements information for mechanical equipment or systems;;Design medical devices or appliances;;Make devices or components;;Confer with customers or designers to determine order specifications;;Develop artistic or design concepts for decoration, exhibition or commercial purposes;;Create physical models or prototypes;;Design industrial processing systems;;Plan and manage, and analyse costs and benefits of, proposed designs or projects;;Read work orders or other instructions to determine product specifications or materials requirements;;Evaluate plans or specifications to determine technological or environmental implications;;Gather customer or product information to determine customer needs;;Develop software or applications for scientific or technical use;;Communicate technical information to suppliers, contractors or regulatory agencies;;Determine technical requirements of productions or projects;;Evaluate new technologies or methods;;Analyse design requirements for computer or electronics systems;;Prepare research or technical reports;;Confer with technical staff to prepare designs or operational plans",0.619;;0.597;;0.566;;0.565;;0.555;;0.533;;0.532;;0.523;;0.515;;0.515;;0.505;;0.501;;0.496;;0.493;;0.489;;0.480;;0.480;;0.477;;0.477;;0.474;;0.473;;0.470;;0.470;;0.470;;0.470;;0.469;;0.468;;0.466;;0.466;;0.462;;0.462;;0.461;;0.461;;0.460;;0.459;;0.458;;0.458;;0.452,,,,15,,https://open.sap.com/courses/plm1
iftt1-pc,Virtualize and Automate Your SAP Testing Using Int4 IFTT,,,,,,9,,https://open.sap.com/courses/iftt1-pc
byd8,SAP Cloud Applications Studio for SAP Business ByDesign,Business intelligence and data analysis software;;Enterprise resource planning ERP software;;Gather information in order to provide services to clients;;Sales and marketing software;;Develop diagrams or flow charts of system operation;;Maintain knowledge of business operations;;Enterprise application integration software;;Customer relationship management CRM software,0.518;;0.516;;0.488;;0.486;;0.458;;0.456;;0.453;;0.451,,,,4,,https://open.sap.com/courses/byd8
byd0,Getting Started with SAP Business ByDesign,"Construct patterns, templates or other work aids;;Direct organisational operations, projects or services;;Business intelligence and data analysis software;;Develop guidelines for system implementation;;Develop diagrams or flow charts of system operation;;Enterprise resource planning ERP software;;Direct design or development activities;;Develop content for sales presentations or other materials",0.482;;0.478;;0.477;;0.474;;0.474;;0.472;;0.456;;0.452,,,,12,,https://open.sap.com/courses/byd0
mobile3,Build Mobile Applications with SAP Cloud Platform* Mobile Services,,,,,,25,,https://open.sap.com/courses/mobile3
